ct,spcd,statecd,unitcd,countycd,plot,invyr
25,221,1,1,3,9,2014
11,694,1,1,3,9,2014
29,131,1,1,3,11,2014
10,111,1,1,3,12,2012
12,221,1,1,3,20,2013
23,131,1,1,3,26,2016
54,131,1,1,3,27,2004
31,111,1,1,3,28,2010
32,111,1,1,3,29,2014
11,131,1,1,3,31,2012
63,131,1,1,3,32,2015
12,316,1,1,3,33,2010
11,820,1,1,3,33,2010
11,316,1,1,3,38,2013
12,653,1,1,3,38,2013
4,762,1,1,3,47,2013
38,121,1,1,3,50,2016
34,131,1,1,3,55,2013
11,544,1,1,3,58,2013
9,827,1,1,3,61,2010
66,131,1,1,3,68,2015
10,121,1,1,3,74,2010
12,591,1,1,3,76,2016
10,621,1,1,3,76,2016
17,827,1,1,3,79,2011
18,694,1,1,3,81,2014
58,121,1,1,3,86,2010
11,131,1,1,3,91,2016
11,121,1,1,3,97,2016
18,111,1,1,3,98,2015
79,131,1,1,3,99,2015
50,131,1,1,3,101,2009
11,131,1,1,3,102,2013
35,691,1,1,3,104,2016
36,131,1,1,3,108,2009
11,838,1,1,3,111,2014
21,121,1,1,3,118,2014
15,111,1,1,3,120,2015
47,131,1,1,3,121,2013
34,131,1,1,3,123,2009
33,131,1,1,3,126,2011
12,621,1,1,3,142,2015
7,131,1,1,3,143,2015
8,131,1,1,3,145,2011
14,121,1,1,3,147,2010
52,111,1,1,3,153,2014
13,653,1,1,3,153,2014
38,111,1,1,3,154,2015
6,827,1,1,3,159,2013
10,820,1,1,3,163,2016
23,121,1,1,3,164,2015
14,827,1,1,3,167,2013
60,131,1,1,3,171,2016
16,111,1,1,3,177,2012
22,401,1,1,3,184,2005
42,131,1,1,3,195,2012
6,131,1,1,3,197,2012
10,121,1,1,3,200,2011
16,827,1,1,3,200,2011
11,820,1,1,3,203,2005
72,111,1,1,3,205,2012
12,131,1,1,3,212,2005
5,111,1,1,3,214,2005
21,131,1,1,3,216,2011
21,121,1,1,3,217,2011
37,111,1,1,3,222,2011
17,221,1,1,3,222,2011
10,111,1,1,3,224,2011
12,621,1,1,3,225,2010
17,653,1,1,3,225,2010
19,694,1,1,3,225,2010
8,131,1,1,3,228,2014
22,43,1,1,3,233,2015
73,131,1,1,39,3,2014
9,121,1,1,39,9,2014
7,827,1,1,39,16,2016
31,131,1,1,39,17,2013
6,131,1,1,39,21,2001
6,611,1,1,39,21,2001
6,827,1,1,39,21,2001
25,121,1,1,39,23,2013
76,131,1,1,39,24,2015
29,131,1,1,39,26,2010
4,611,1,1,39,28,2010
27,131,1,1,39,31,2013
12,611,1,1,39,32,2015
71,131,1,1,39,34,2016
26,111,1,1,39,36,2014
44,131,1,1,39,40,2010
21,131,1,1,39,44,2015
25,131,1,1,39,48,2016
6,812,1,1,39,50,2013
32,121,1,1,39,51,2014
75,131,1,1,39,56,2016
11,121,1,1,39,58,2011
34,131,1,1,39,60,2010
16,621,1,1,39,62,2009
44,131,1,1,39,63,2014
49,131,1,1,39,67,2010
17,131,1,1,39,68,2010
10,121,1,1,39,69,2014
10,121,1,1,39,72,2016
17,121,1,1,39,73,2016
24,820,1,1,39,82,2009
35,121,1,1,39,93,2012
35,131,1,1,39,94,2011
8,611,1,1,39,94,2011
8,827,1,1,39,96,2012
10,121,1,1,39,99,2011
25,131,1,1,39,107,2005
31,131,1,1,39,118,2012
20,131,1,1,39,119,2011
13,131,1,1,39,125,2015
34,111,1,1,39,160,2002
13,121,1,1,39,168,2002
9,121,1,1,39,174,2002
11,111,1,1,39,175,2001
34,694,1,1,39,175,2001
31,121,1,1,39,176,2001
7,827,1,1,39,176,2001
46,131,1,1,39,177,2010
27,121,1,1,53,3,2011
52,121,1,1,53,5,2009
45,131,1,1,53,8,2013
10,131,1,1,53,11,2013
35,121,1,1,53,16,2014
50,111,1,1,53,20,2010
12,121,1,1,53,24,2014
20,820,1,1,53,25,2016
22,820,1,1,53,28,2015
11,827,1,1,53,28,2015
29,121,1,1,53,37,2013
9,121,1,1,53,38,2015
6,131,1,1,53,38,2015
8,820,1,1,53,38,2015
76,131,1,1,53,39,2013
45,131,1,1,53,41,2010
8,131,1,1,53,45,2013
37,131,1,1,53,50,2013
64,131,1,1,53,51,2010
28,131,1,1,53,53,2016
39,131,1,1,53,54,2013
10,121,1,1,53,55,2016
71,121,1,1,53,57,2014
9,121,1,1,53,70,2011
46,131,1,1,53,71,2010
10,762,1,1,53,73,2014
11,316,1,1,53,80,2016
13,653,1,1,53,80,2016
24,111,1,1,53,95,2012
44,121,1,1,53,100,2012
17,121,1,1,53,102,2011
44,131,1,1,53,104,2011
26,131,1,1,53,108,2011
41,131,1,1,53,109,2014
25,121,1,1,53,114,2014
11,827,1,1,53,114,2014
12,121,1,1,53,142,2004
12,131,1,1,97,3,2016
52,121,1,1,97,11,2015
15,121,1,1,97,13,2010
26,131,1,1,97,16,2013
15,827,1,1,97,21,2013
5,827,1,1,97,35,2015
18,131,1,1,97,40,2003
35,820,1,1,97,46,2011
20,121,1,1,97,55,2016
9,820,1,1,97,55,2016
15,121,1,1,97,58,2014
15,221,1,1,97,63,2011
10,827,1,1,97,69,2016
15,121,1,1,97,70,2004
17,131,1,1,97,102,2016
21,111,1,1,97,105,2013
20,653,1,1,97,105,2013
24,819,1,1,97,107,2015
26,131,1,1,97,108,2016
16,131,1,1,97,109,2010
21,121,1,1,97,114,2014
48,691,1,1,97,115,2013
17,111,1,1,97,119,2011
13,121,1,1,97,121,2009
5,121,1,1,97,130,2011
12,820,1,1,97,131,2015
56,131,1,1,97,141,2016
22,121,1,1,97,146,2011
17,819,1,1,97,146,2011
14,131,1,1,97,155,2011
18,131,1,1,97,163,2012
37,121,1,1,97,170,2011
16,121,1,1,97,173,2012
18,653,1,1,97,176,2012
19,694,1,1,97,176,2012
18,838,1,1,97,177,2012
19,111,1,1,97,181,2010
37,691,1,1,97,182,2016
21,131,1,1,129,1,2013
13,827,1,1,129,1,2013
24,131,1,1,129,2,2014
6,131,1,1,129,3,2015
38,131,1,1,129,4,2016
14,653,1,1,129,5,2010
17,693,1,1,129,5,2010
10,131,1,1,129,13,2009
7,694,1,1,129,15,2016
11,820,1,1,129,15,2016
21,111,1,1,129,17,2011
9,693,1,1,129,17,2011
12,131,1,1,129,18,2010
6,827,1,1,129,21,2016
25,131,1,1,129,23,2013
17,131,1,1,129,24,2010
35,131,1,1,129,26,2015
4,693,1,1,129,27,2010
48,131,1,1,129,29,2010
12,693,1,1,129,32,2013
14,131,1,1,129,36,2011
9,653,1,1,129,41,2011
13,653,1,1,129,43,2010
11,111,1,1,129,44,2015
21,653,1,1,129,44,2015
45,131,1,1,129,47,2010
18,131,1,1,129,52,2014
6,131,1,1,129,56,2010
19,653,1,1,129,56,2010
16,131,1,1,129,58,2013
21,111,1,1,129,59,2011
18,111,1,1,129,61,2003
32,653,1,1,129,67,2013
33,131,1,1,129,68,2013
29,131,1,1,129,71,2015
22,131,1,1,129,79,2011
8,316,1,1,129,81,2015
20,653,1,1,129,81,2015
34,111,1,1,129,85,2016
14,131,1,1,129,87,2010
69,131,1,1,129,90,2015
54,131,1,1,129,95,2016
6,131,1,1,129,97,2007
26,131,1,1,129,100,2007
16,316,1,1,129,104,2005
41,653,1,1,129,104,2005
28,111,1,1,129,106,2012
24,653,1,1,129,107,2012
9,693,1,1,129,107,2012
9,611,1,1,129,109,2011
40,131,1,1,129,113,2011
7,316,1,1,129,114,2011
22,653,1,1,129,114,2011
14,835,1,1,129,117,2012
44,131,1,1,129,128,2016
7,111,1,1,129,130,2015
37,131,1,2,23,1,2016
54,131,1,2,23,5,2010
47,131,1,2,23,7,2013
13,131,1,2,23,10,2014
27,131,1,2,23,13,2014
24,131,1,2,23,14,2013
11,611,1,2,23,14,2013
64,131,1,2,23,15,2013
29,131,1,2,23,17,2014
32,131,1,2,23,20,2016
8,827,1,2,23,20,2016
19,611,1,2,23,21,2010
26,131,1,2,23,22,2016
