invyr,statecd,unitcd,countycd,plot,lat,lon,lon.1,lat.1
2001,19,3,85,20147,41.83984,-95.989219,-95.989219,41.83984
2002,19,3,133,20045,42.047126,-96.09595,-96.09595,42.047126
2000,19,3,133,20080,42.0407,-96.167284,-96.167284,42.0407
2002,19,3,193,20017,42.322852,-96.323388,-96.323388,42.322852
2001,19,3,193,20066,42.449204,-96.370138,-96.370138,42.449204
2002,19,3,193,20071,42.485547,-96.108439,-96.108439,42.485547
2002,19,3,193,20200,42.441801,-95.992745,-95.992745,42.441801
2003,19,3,193,20222,42.281375,-96.321412,-96.321412,42.281375
2002,19,4,149,20003,42.781063,-96.61414,-96.61414,42.781063
2000,19,4,149,20049,42.626827,-96.508173,-96.508173,42.626827
2001,19,4,149,20080,42.58635,-96.481363,-96.481363,42.58635
2000,19,4,149,20221,42.694475,-96.428623,-96.428623,42.694475
2000,27,1,71,20210,47.896973,-94.384419,-94.384419,47.896973
2001,27,1,71,20222,47.917749,-94.334631,-94.334631,47.917749
2004,27,1,71,20325,47.877964,-94.054946,-94.054946,47.877964
2004,27,1,71,20326,47.899728,-94.228314,-94.228314,47.899728
2003,27,1,71,22018,47.853531,-94.096446,-94.096446,47.853531
2003,27,1,71,22034,47.875626,-94.172378,-94.172378,47.875626
2002,27,1,71,22144,47.887476,-94.289309,-94.289309,47.887476
2002,27,1,71,22268,47.91854,-94.191386,-94.191386,47.91854
2002,27,1,71,22426,47.858713,-94.026223,-94.026223,47.858713
2003,27,1,71,22474,47.914736,-94.270695,-94.270695,47.914736
2000,27,1,71,22792,47.907009,-94.190726,-94.190726,47.907009
2000,27,1,71,22806,47.864926,-94.116391,-94.116391,47.864926
2001,27,1,71,22963,47.930671,-94.413019,-94.413019,47.930671
2002,27,1,71,23075,47.896766,-94.356191,-94.356191,47.896766
1999,27,1,71,23189,47.904117,-94.124386,-94.124386,47.904117
2000,27,1,71,23293,47.854873,-94.296672,-94.296672,47.854873
2002,27,1,71,23316,47.91531,-94.158166,-94.158166,47.91531
2001,27,1,71,23455,47.849839,-94.192022,-94.192022,47.849839
1999,27,2,5,20001,46.720194,-96.101175,-96.101175,46.720194
2002,27,2,5,20005,46.857459,-95.367745,-95.367745,46.857459
2000,27,2,5,20010,46.986372,-95.211321,-95.211321,46.986372
2003,27,2,5,20014,46.854282,-95.206647,-95.206647,46.854282
1999,27,2,5,20041,47.07464,-95.649264,-95.649264,47.07464
2001,27,2,5,20045,47.080327,-95.860258,-95.860258,47.080327
2001,27,2,5,20060,46.803888,-96.020692,-96.020692,46.803888
2001,27,2,5,20069,46.918914,-95.229758,-95.229758,46.918914
1999,27,2,5,20070,47.012648,-95.483942,-95.483942,47.012648
2003,27,2,5,20071,47.131116,-95.492147,-95.492147,47.131116
2003,27,2,5,20073,46.906068,-95.538812,-95.538812,46.906068
2001,27,2,5,20081,46.906898,-95.3569,-95.3569,46.906898
2000,27,2,5,20085,46.983615,-95.254909,-95.254909,46.983615
2000,27,2,5,20087,46.781491,-95.67783,-95.67783,46.781491
2002,27,2,5,20112,47.049328,-95.366651,-95.366651,47.049328
2002,27,2,5,20122,46.841298,-95.717613,-95.717613,46.841298
